ts,open,high,low,close,volume,sma_50
2026-03-18 00:00:00+00:00,6722.5,6762.25,6604.0,6626.0,501911.0,6893.165
2026-03-19 00:00:00+00:00,6622.0,6644.5,6561.75,6609.25,450179.0,6885.595
2026-03-20 00:00:00+00:00,6622.75,6635.0,6558.0,6594.6298828125,2011431.0,6878.22259765625
2026-03-23 00:00:00+00:00,6510.0,6748.0,6483.5,6634.75,2176195.0,6871.67759765625
2026-03-24 00:00:00+00:00,6635.0,6680.5,6573.5,6606.0,1924003.0,6863.69759765625
2026-03-25 00:00:00+00:00,6646.5,6684.75,6616.5,6640.75,1709266.0,6856.18259765625
2026-03-26 00:00:00+00:00,6641.5,6647.0,6517.0,6525.0,1689160.0,6846.64759765625
2026-03-27 00:00:00+00:00,6536.0,6568.5,6389.0,6412.25,1918291.0,6835.56759765625
2026-03-30 00:00:00+00:00,6380.0,6481.75,6359.5,6388.25,1793061.0,6823.69759765625
2026-03-31 00:00:00+00:00,6385.25,6583.25,6353.25,6570.75,2363577.0,6815.57759765625
2026-04-01 00:00:00+00:00,6562.0,6653.75,6561.0,6617.75,1752607.0,6811.34259765625
2026-04-02 00:00:00+00:00,6618.5,6644.5,6503.75,6622.25,1965184.0,6805.58759765625
2026-04-06 00:00:00+00:00,6590.0,6661.0,6567.0,6651.0,1103916.0,6799.70759765625
2026-04-07 00:00:00+00:00,6650.5,6673.5,6572.75,6656.75,1997800.0,6793.92759765625
2026-04-08 00:00:00+00:00,6689.0,6847.25,6652.25,6823.75,2199329.0,6790.77759765625
2026-04-09 00:00:00+00:00,6814.25,6876.0,6792.5,6863.25,1604541.0,6787.87259765625
2026-04-10 00:00:00+00:00,6858.0,6888.0,6846.25,6855.25,1312566.0,6784.83259765625
2026-04-13 00:00:00+00:00,6780.0,6928.25,6767.0,6922.75,1541313.0,6783.43259765625
2026-04-14 00:00:00+00:00,6925.25,7008.0,6920.25,7004.75,1356650.0,6784.21259765625
2026-04-15 00:00:00+00:00,7004.0,7064.5,6991.75,7060.5,1395387.0,6785.37259765625
2026-04-16 00:00:00+00:00,7057.25,7089.0,7046.5,7077.0,1360502.0,6788.07759765625
2026-04-17 00:00:00+00:00,7077.25,7185.75,7075.25,7161.5,1847098.0,6793.18259765625
2026-04-20 00:00:00+00:00,7102.5,7160.5,7085.0,7148.0,1374523.0,6799.72759765625
